C,Data,PDez,SDz,TDz,QDez,QiDez,SxDez,NGan,UF,Rateio
236,09/09/00,10,52,50,57,25,60,0,,0
237,16/09/00,36,7,45,31,56,57,0,,0
238,23/09/00,15,9,41,13,37,42,4,BA,1.429.476
239,30/09/00,33,21,44,46,47,6,1,BA,866.183
240,07/10/00,59,28,25,41,57,38,0,,0
241,14/10/00,11,57,40,35,56,31,0,,0
242,21/10/00,22,7,4,21,28,56,0,,0
243,28/10/00,20,47,23,32,16,11,0,,0
244,04/11/00,19,60,50,24,47,33,0,,0
245,11/11/00,44,51,27,53,8,60,3,GO,9.153.484
246,18/11/00,2,57,32,43,16,37,0,,0
247,25/11/00,34,3,30,10,23,46,0,,0
248,02/12/00,56,16,34,41,35,32,0,,0
249,09/12/00,21,55,54,40,36,49,0,,0
250,16/12/00,55,25,41,42,43,7,0,,0
251,23/12/00,34,15,23,55,49,30,0,,0
252,30/12/00,17,54,4,51,32,26,2,DF,15.107.002
253,06/01/01,12,11,56,44,24,37,0,,0
254,13/01/01,4,30,56,21,22,1,0,,0
255,20/01/01,32,44,55,19,20,16,0,,0
256,27/01/01,21,52,34,26,2,32,0,,0
257,03/02/01,28,5,1,34,4,19,1,RJ,6.808.483
258,10/02/01,12,60,54,7,55,50,0,,0
259,17/02/01,20,43,33,13,15,58,0,,0
260,24/02/01,43,4,60,59,6,33,0,,0
261,03/03/01,5,54,20,56,30,16,0,,0
262,10/03/01,53,60,48,20,58,11,0,,0
263,17/03/01,8,50,26,9,53,43,0,,0
264,24/03/01,5,25,31,13,1,33,2,CE,16.055.880
265,31/03/01,7,50,53,16,41,34,0,,0
266,07/04/01,38,54,48,23,2,46,0,,0
267,14/04/01,58,1,45,55,8,46,0,,0
268,21/04/01,21,10,47,6,5,33,0,,0
269,28/04/01,19,18,52,25,17,49,0,,0
270,05/05/01,45,27,35,40,5,9,1,SP,25.186.260
271,12/05/01,14,31,54,29,26,24,0,,0
272,19/05/01,36,58,9,10,56,24,0,,0
273,26/05/01,47,52,10,27,23,17,1,PE,3.456.480
274,02/06/01,11,39,47,18,13,26,0,,0
275,09/06/01,16,30,19,38,48,37,0,,0
276,16/06/01,53,59,39,45,22,57,0,,0
277,23/06/01,40,26,38,4,56,52,0,,0
278,30/06/01,22,10,18,55,15,31,0,,0
279,07/07/01,31,59,4,58,23,47,0,,0
280,14/07/01,5,16,30,25,58,20,0,,0
281,21/07/01,11,5,47,31,53,38,1,PR,22.414.093
282,28/07/01,33,24,36,9,14,23,1,RJ,958.878
283,01/08/01,48,34,28,54,25,42,1,SP,367.173
284,04/08/01,8,36,14,32,30,7,1,PR,901.884
285,08/08/01,50,56,41,12,32,37,0,,0
286,11/08/01,44,37,56,29,47,35,0,,0
287,15/08/01,60,47,3,33,25,13,1,TO,1.931.474
288,18/08/01,50,9,18,11,6,17,0,,0
289,22/08/01,36,6,30,20,7,25,0,,0
290,25/08/01,57,30,7,25,40,26,0,,0
291,29/08/01,22,16,5,41,18,17,0,,0
292,01/09/01,24,34,53,45,23,13,0,,0
293,05/09/01,6,12,35,5,28,7,0,,0
294,08/09/01,28,45,41,22,57,25,2,PR,7.696.680
295,12/09/01,24,44,7,31,12,50,0,,0
296,15/09/01,20,51,42,3,52,46,0,,0
297,19/09/01,20,28,41,1,33,36,0,,0
298,22/09/01,22,34,24,23,5,60,1,PR,2.994.572
299,26/09/01,7,5,2,53,33,49,0,,0
300,29/09/01,27,57,41,38,28,24,0,,0
301,03/10/01,58,26,49,57,48,9,0,,0
302,06/10/01,25,40,12,60,30,41,0,,0
303,10/10/01,7,13,30,37,47,17,1,MS,12.257.748
304,13/10/01,42,7,11,34,59,41,0,,0
305,17/10/01,11,5,27,60,38,53,0,,0
306,20/10/01,30,19,57,41,56,47,0,,0
307,24/10/01,26,17,13,41,16,44,0,,0
308,27/10/01,55,25,4,11,29,39,1,RS,4.138.172
309,31/10/01,39,50,25,55,11,4,1,RS,442.899
310,03/11/01,28,14,29,2,31,32,0,,0
311,07/11/01,32,22,24,41,30,38,0,,0
312,10/11/01,14,30,50,41,47,23,0,,0
313,14/11/01,14,38,53,24,16,37,0,,0
314,17/11/01,5,32,40,58,37,34,0,,0
315,21/11/01,50,21,43,12,28,22,1,PR,13.675.105
316,24/11/01,28,51,56,6,24,43,0,,0
317,28/11/01,27,20,48,16,30,35,0,,0
318,01/12/01,19,53,40,3,31,20,1,SP,2.227.008
319,05/12/01,12,16,23,17,19,48,0,,0
320,08/12/01,20,53,47,50,22,27,0,,0
321,12/12/01,11,31,32,48,49,4,0,,0
322,15/12/01,18,11,29,44,47,56,0,,0
323,19/12/01,31,49,54,33,26,40,0,,0
324,22/12/01,22,8,30,15,47,25,0,,0
325,29/12/01,4,23,3,1,21,53,2,AM,8.743.877
326,05/01/02,52,23,40,51,44,21,0,,0
327,09/01/02,46,38,29,33,32,48,0,,0
328,12/01/02,51,5,23,7,14,21,1,SP,2.721.357
329,16/01/02,24,11,40,12,35,10,0,,0
330,19/01/02,2,4,23,37,14,51,0,,0
331,23/01/02,27,1,35,20,37,13,0,,0
332,26/01/02,28,23,42,29,44,34,0,,0
333,30/01/02,35,27,53,44,52,4,0,,0
334,02/02/02,41,26,51,14,24,23,2,SP,8.729.392
335,06/02/02,43,33,57,23,59,7,0,,0
336,09/02/02,2,18,54,22,30,26,0,,0
337,16/02/02,31,52,14,54,16,4,0,,0
338,20/02/02,48,46,9,1,36,4,0,,0
339,23/02/02,13,16,12,5,27,50,0,,0
340,27/02/02,10,60,42,9,33,12,0,,0
341,02/03/02,56,23,22,43,16,5,0,,0
342,06/03/02,29,49,54,51,16,34,0,,0
343,09/03/02,4,6,7,24,12,41,2,PR,9.937.283
344,13/03/02,33,36,12,35,10,14,0,,0
345,16/03/02,56,11,58,46,51,22,1,SP,1.447.870
346,20/03/02,56,7,46,60,41,12,0,,0
347,23/03/02,26,10,52,1,12,48,0,,0
348,27/03/02,39,40,33,52,19,30,0,,0
349,30/03/02,9,38,32,8,54,28,0,,0
350,03/04/02,23,30,43,10,15,57,0,,0
351,06/04/02,15,16,59,60,24,41,0,,0
352,10/04/02,49,7,47,25,20,44,0,,0
353,13/04/02,60,46,30,55,23,19,0,,0
354,17/04/02,40,52,38,16,7,41,1,SP,18.680.098
355,20/04/02,2,37,22,60,14,23,0,,0
356,24/04/02,54,19,5,58,56,21,0,,0
357,27/04/02,45,53,32,2,30,35,0,,0
358,04/05/02,40,42,32,12,21,17,0,,0
359,08/05/02,31,54,20,29,13,19,0,,0
360,11/05/02,47,24,29,55,53,23,0,,0
361,15/05/02,41,28,45,31,16,59,0,,0
362,18/05/02,37,20,33,46,7,56,1,RJ,18.399.160
363,22/05/02,39,54,29,49,47,19,0,,0
364,25/05/02,59,44,29,5,51,57,1,SC,1.307.293
365,29/05/02,52,19,34,37,58,23,1,MG,462.752
366,01/06/02,6,4,51,7,21,15,0,,0
367,05/06/02,52,49,27,33,12,10,1,BA,1.150.498
368,08/06/02,13,50,38,32,44,29,0,,0
369,12/06/02,21,42,1,60,35,14,1,CE,1.221.738
370,15/06/02,51,42,4,54,1,40,0,,0
371,19/06/02,23,33,39,4,60,18,0,,0
372,22/06/02,24,17,46,57,16,39,2,SP,4.792.658
373,26/06/02,31,33,24,10,5,1,0,,0
374,29/06/02,54,2,26,5,44,16,0,,0
375,03/07/02,51,9,42,5,58,1,0,,0
376,06/07/02,25,13,10,43,35,48,0,,0
377,10/07/02,46,19,3,45,12,27,0,,0
378,13/07/02,55,45,48,41,5,38,0,,0
379,17/07/02,41,55,24,59,33,40,0,,0
380,20/07/02,47,22,13,30,31,57,0,,0
381,24/07/02,9,56,46,28,10,55,0,,0
382,27/07/02,54,38,53,31,37,34,0,,0
383,31/07/02,48,22,53,56,50,14,0,,0
384,03/08/02,28,50,47,24,40,52,0,,0
385,07/08/02,22,12,24,18,5,16,2,DF,12.952.192
386,10/08/02,39,54,43,36,17,35,0,,0
387,14/08/02,29,28,48,47,43,22,0,,0
388,17/08/02,52,48,53,58,23,36,0,,0
389,21/08/02,46,14,54,18,43,5,0,,0
390,24/08/02,7,22,34,12,38,53,1,SC,17.611.429
391,28/08/02,7,15,35,16,40,4,0,,0
392,31/08/02,49,47,39,31,15,23,1,SP,1.410.917
393,04/09/02,12,50,36,6,35,40,0,,0
394,07/09/02,15,49,42,5,45,35,0,,0
395,11/09/02,11,58,31,14,10,20,1,DF,1.843.709
396,14/09/02,47,18,6,45,34,42,0,,0
397,18/09/02,32,24,2,5,1,46,0,,0
398,21/09/02,28,7,16,37,36,22,1,CE,2.221.289
399,25/09/02,59,55,16,27,47,11,0,,0
400,28/09/02,29,59,13,10,54,28,0,,0
401,02/10/02,50,18,44,53,11,43,0,,0
402,05/10/02,27,43,58,5,16,56,0,,0
403,09/10/02,46,31,7,16,60,27,0,,0
404,12/10/02,24,38,58,1,40,28,0,,0
405,16/10/02,57,60,34,24,29,47,0,,0
406,19/10/02,47,32,48,12,38,2,0,,0
407,23/10/02,49,2,18,51,22,57,0,,0
408,26/10/02,49,44,33,28,56,14,1,RJ,18.948.827
409,30/10/02,26,49,25,18,31,34,0,,0
410,02/11/02,31,55,36,24,8,38,0,,0
411,06/11/02,10,56,12,31,45,38,0,,0
412,09/11/02,45,5,14,21,59,12,0,,0
413,13/11/02,35,53,29,33,2,4,0,,0
414,16/11/02,35,26,58,52,45,16,1,MS,17.428.452
415,20/11/02,38,44,4,1,27,42,0,,0
416,23/11/02,13,1,23,56,54,33,0,,0
417,27/11/02,25,7,12,21,42,34,0,,0
418,30/11/02,45,8,32,49,15,52,2,ES,1.558.712
419,04/12/02,41,42,52,53,16,9,0,,0
420,07/12/02,43,12,59,30,57,29,0,,0
421,11/12/02,38,45,35,37,5,51,0,,0
422,14/12/02,60,12,56,37,55,43,0,,0
423,18/12/02,8,22,33,40,32,53,0,,0
424,21/12/02,29,36,27,18,59,46,0,,0
425,28/12/02,6,16,10,34,47,42,1,DF,18.979.599
426,04/01/03,7,32,54,50,30,37,0,,0
427,08/01/03,51,13,43,24,3,14,0,,0
428,11/01/03,60,8,32,28,46,30,0,,0
429,15/01/03,55,32,17,36,26,43,0,,0
430,18/01/03,50,21,10,25,38,8,1,PR,14.410.708
431,22/01/03,58,26,40,37,47,52,0,,0
432,25/01/03,50,17,13,27,4,39,0,,0
